,,,,,,,,,,Round 1,,if I6 provide detail,if R19 provide,,
,dyad#,GOAL,A_Evasive,Forthcoming,Who Initiated?,Auditor Gender Attachment,Client Gendor Attachment,Client Obs opinion,Round,Auditor Inquiry,Client Response,,,,
,56,1,4,4,AID,ANA,CAN,NO,1,I5,,,,,
,,,,,,,,,1,I1,"R1,R5",,,,
,,,,,,,,,1,I2,R7,,,,
,,,,,,,,,1,I3,R19,,SALES ARE CONSISTENT,,
,,,,,,,,,1,I4,R15,,,,
,67,0,4,3,AID,ANA,CAN,NO,1,I6,R19,AUTHORITY TO RESPOND TO INVENTORY QUESTIONS,I AM IN CHARGE OF SELLING S3000 PRODUCT,,
,,,,,,,,,2,I6,R19,METHODS TO COUNT INVENTORY,NO CHANGETO METHOD,,
,,,,,,,,,2,I6,"R19,R12",DATE OF LAST INVENTORY COUNT,INVENTOTY COUNTED AT END OF EACH MONTH,,
,,,,,,,,,2,I6,,PROCEDURES FOR RECEIVING SHIPMENTS NEAR TIME OF PHYSICAL COUNTS,,,
,,,,,,,,,2,I6,R19,PLEASE SEND REPORTS,CANNOT SEND REPORTS,,
,,,,,,,,,2,,"R15P,R18",,,,
,71,1,2,5,AID,ANA,CAN,NO,1,I5,R1P  ,,,,
,,,,,,,,,1,I1,"R7,R6,R15P,R13",,,,
,,,,,,,,,2,I6,R6,HOW LIKELY IS COMPETITION PRODUCT WILL FLOP?,,,
,,,,,,,,,2,I6,,HOW ARE SALES OF COMPETITION DOING?,,,
,,,,,,,,,2,I4,,,,,
,76,0,2,5,AID,ANA,CAN,NO,1,I6,"R12, R11",Did conditions change for the product?,,,
,,,,,,,,,1,I6,R5,was there a change in production or selling the product?,,,
,,,,,,,,,1,I5,,,,,
,,,,,,,,,1,I1,"R1,R2,R3",,,,
,,,,,,,,,1,I6,"R15,R17,R18,R16,R13,R14",any change in the market that could affect the product?,,,
,78,1,2,4,AID,ANA,CAN,NO,1,I6,"R11, R19",Current inventory rate?,,,
,,,,,,,,,1,I1,"R1, R2",,,,
,,,,,,,,,1,I6,R19,how will a competitors technology breakthrough impact your inventory,It will slow turnover drastically,,
,,,,,,,,,1,I6,"R8,R15,R13",can current inventory be scrapped or salvaged before being obsolete?,,,
,,,,,,,,,1,I6,R19,How much cash is invested in R&D?,Comparable to our competitors,,
,,,,,,,,,1,I5,"R6, R9",,,,
,,,,,,,,,1,I6,R19,How are you safeguarding the technology from competitors?,Efforts always maintained,,
,,,,,,,,,2,i6,,we confirm that your inventory turnover is at industry standards,,,
,84,1,5,5,AID,ANA,CAN,NO,1,I5,,,,,
,,,,,,,,,1,I1,"R1,R5P,R3",,,,
,,,,,,,,,2,I2,"R7, R11, R10",,,,
,,,,,,,,,2,I6,"R6, R9, R15P",Does product have unique qualitites?,,,
,,,,,,,,,2,I6,R19,Do you have a patent?,no we don't have a patent,,
,93,0,2,6,AID,ANA,CAN,NO,1,I3,"R12, R11, R10, R16, R19",,there is not a trend in the sales,,
,,,,,,,,,1,I2,"R1,R5,R6, R3,R4, R1, R2, R8",,,,
,,,,,,,,,1,I5,"R17, R15,R16,R14",,,,
,4,0,1,6,AID,ANA,CAN,NO,1,I6,,is the company updating any of their products?,,,
,,,,,,,,,1,I6,,does the company have other viable options for income if something happens to the product?,,,
,,,,,,,,,1,I1,"R1P, R7",,,,
,,,,,,,,,1,I5,,,,,
,,,,,,,,,1,I6,,what is the company doing to protect or gain market share?,,,
,,,,,,,,,1,I6,"R15P,R18, R19",what % of sales revenue does the product make up of total revenue?,It?s a good portion of our revenue,,
,,,,,,,,,1,I6,,why is there so much inventory of product on hand?,,,
,,,,,,,,,1,I6,,what other products do they sell?,,,
,,,,,,,,,1,I6,,what are the percentages of inventory by product?,,,
,,,,,,,,,1,I6,R15P ,what is the company plan if product becomes second class?,,,
,,,,,,,,,1,I4,R9P,,,,
